SampleID	Body_site	Individual	State
X01Sat1	saliva	1	fresh
X01Sat3	saliva	1	exposed
X02Vgt1	vaginalswab	2	fresh
X02Vgt3	vaginalswab	2	exposed
X03Mbt1a	menstrualblood	3	fresh
X03Mbt1b	menstrualblood	3	fresh
X03Mbt2	menstrualblood	3	fresh
X03Mbt3	menstrualblood	3	exposed
X06Sat1	saliva	6	fresh
X06Sat3	saliva	6	exposed
X07Sat1	saliva	7	fresh
X08Sat1	saliva	8	fresh
X08Sat3	saliva	8	exposed
X09Sat2a	saliva	9	fresh
X09Sat2b	saliva	9	fresh
X09Sat3	saliva	9	exposed
X10Set3	semen	10	exposed
X11Set3	semen	1	exposed
X12Set1	semen	11	fresh
X13Vgt1a	vaginalswab	12	fresh
X13Vgt1b	vaginalswab	12	fresh
X13Vgt2	vaginalswab	12	fresh
X13Vgt3	vaginalswab	12	exposed
X14Vgt1	vaginalswab	9	fresh
X14Vgt3	vaginalswab	9	exposed
X15Vgt1	vaginalswab	13	fresh
X15Vgt3	vaginalswab	13	exposed
X16Set1	semen	14	fresh
X17Vgt1	vaginalswab	15	fresh
X17Vgt3	vaginalswab	15	exposed
X18Mbt1	menstrualblood	16	fresh
X18Mbt3	menstrualblood	16	exposed
X19Mbt1	menstrualblood	17	fresh
X19Mbt3	menstrualblood	17	exposed
X20Set1	semen	18	fresh
X25Blt3	blood	12	exposed
X26Skt1a	skin	9	fresh
X26Skt1b	skin	9	fresh
X26Skt2	skin	9	fresh
X27Skt1	skin	12	fresh
X27Skt3	skin	12	exposed
X28Skt1	skin	19	fresh
X29Skt1	skin	10	fresh
X30Skt3	skin	16	exposed
X31Mbt1	menstrualblood	2	fresh
X31Mbt3	menstrualblood	2	exposed
X34Sat2	saliva	1	fresh

