SampleID	Body_site	Individual	State
01Sat1	saliva	1	fresh
01Sat3	saliva	1	exposed
02Vgt1	vaginalswab	2	fresh
02Vgt3	vaginalswab	2	exposed
03Mbt1a	menstrualblood	3	fresh
03Mbt1b	menstrualblood	3	fresh
03Mbt2	menstrualblood	3	fresh
03Mbt3	menstrualblood	3	exposed
06Sat1	saliva	6	fresh
06Sat3	saliva	6	exposed
07Sat1	saliva	7	fresh
08Sat1	saliva	8	fresh
08Sat3	saliva	8	exposed
09Sat2a	saliva	9	fresh
09Sat2b	saliva	9	fresh
09Sat3	saliva	9	exposed
10Set3	semen	10	exposed
11Set3	semen	1	exposed
12Set1	semen	11	fresh
13Vgt1a	vaginalswab	12	fresh
13Vgt1b	vaginalswab	12	fresh
13Vgt2	vaginalswab	12	fresh
13Vgt3	vaginalswab	12	exposed
14Vgt1	vaginalswab	9	fresh
14Vgt3	vaginalswab	9	exposed
15Vgt1	vaginalswab	13	fresh
15Vgt3	vaginalswab	13	exposed
16Set1	semen	14	fresh
17Vgt1	vaginalswab	15	fresh
17Vgt3	vaginalswab	15	exposed
18Mbt1	menstrualblood	16	fresh
18Mbt3	menstrualblood	16	exposed
19Mbt1	menstrualblood	17	fresh
19Mbt3	menstrualblood	17	exposed
20Set1	semen	18	fresh
26Skt1a	skin	9	fresh
26Skt1b	skin	9	fresh
26Skt2	skin	9	fresh
27Skt1	skin	12	fresh
27Skt3	skin	12	exposed
28Skt1	skin	19	fresh
29Skt1	skin	10	fresh
30Skt3	skin	16	exposed
31Mbt1	menstrualblood	2	fresh
31Mbt3	menstrualblood	2	exposed
34Sat2	saliva	1	fresh

