study_accession	sample_accession	secondary_sample_accession	run_accession	sample_title
PRJEB13747	SAMEA3943930	ERS1131064	ERR1382288	Plate39.61
PRJEB13747	SAMEA3945543	ERS1132677	ERR1382289	Plate28.11
PRJEB13747	SAMEA3943167	ERS1130301	ERR1382290	Plate34.2.13
PRJEB13747	SAMEA3945850	ERS1132984	ERR1382291	Plate32.48
PRJEB13747	SAMEA3944818	ERS1131952	ERR1382292	Plate17.11
PRJEB13747	SAMEA3945957	ERS1133091	ERR1382293	Plate34.1
PRJEB13747	SAMEA3943858	ERS1130992	ERR1382294	Plate38.36
PRJEB13747	SAMEA3945857	ERS1132991	ERR1382295	Plate32.87
PRJEB13747	SAMEA3946050	ERS1133184	ERR1382296	Plate5.3
PRJEB13747	SAMEA3944082	ERS1131216	ERR1382297	High1.82
PRJEB13747	SAMEA3945640	ERS1132774	ERR1382298	Plate29.96
PRJEB13747	SAMEA3944925	ERS1132059	ERR1382299	Plate19.59
PRJEB13747	SAMEA3945261	ERS1132395	ERR1382300	Plate24.39
PRJEB13747	SAMEA3943523	ERS1130657	ERR1382301	Plate42.36
PRJEB13747	SAMEA3944461	ERS1131595	ERR1382302	Plate12.7
PRJEB13747	SAMEA3943909	ERS1131043	ERR1382303	Plate39.71
PRJEB13747	SAMEA3943179	ERS1130313	ERR1382304	Plate34.2.34
PRJEB13747	SAMEA3944405	ERS1131539	ERR1382305	Plate10.70
PRJEB13747	SAMEA3946125	ERS1133259	ERR1382306	Plate6.82
PRJEB13747	SAMEA3943866	ERS1131000	ERR1382307	Plate38.70
PRJEB13747	SAMEA3943980	ERS1131114	ERR1382308	Plate41.45
PRJEB13747	SAMEA3945093	ERS1132227	ERR1382309	Plate21.47
PRJEB13747	SAMEA3943264	ERS1130398	ERR1382310	Plate36.76
PRJEB13747	SAMEA3946353	ERS1133487	ERR1382311	PlateRedo1.63
PRJEB13747	SAMEA3945574	ERS1132708	ERR1382312	Plate28.78
PRJEB13747	SAMEA3944528	ERS1131662	ERR1382313	Plate13.5
PRJEB13747	SAMEA3945137	ERS1132271	ERR1382314	Plate22.89
PRJEB13747	SAMEA3945002	ERS1132136	ERR1382315	Plate20.96
PRJEB13747	SAMEA3943936	ERS1131070	ERR1382316	Plate39.17
PRJEB13747	SAMEA3945032	ERS1132166	ERR1382317	Plate20.88
PRJEB13747	SAMEA3943688	ERS1130822	ERR1382318	Plate46.43
PRJEB13747	SAMEA3944561	ERS1131695	ERR1382319	Plate13.44
PRJEB13747	SAMEA3946051	ERS1133185	ERR1382320	Plate5.65
PRJEB13747	SAMEA3945439	ERS1132573	ERR1382321	Plate26.69
PRJEB13747	SAMEA3944133	ERS1131267	ERR1382322	High1.10
PRJEB13747	SAMEA3944468	ERS1131602	ERR1382323	Plate12.8
PRJEB13747	SAMEA3946164	ERS1133298	ERR1382324	Plate7.83
PRJEB13747	SAMEA3943152	ERS1130286	ERR1382325	Plate34.2.73
PRJEB13747	SAMEA3944728	ERS1131862	ERR1382326	Plate16.29
PRJEB13747	SAMEA3946020	ERS1133154	ERR1382327	Plate5.51
PRJEB13747	SAMEA3944523	ERS1131657	ERR1382328	Plate13.8
PRJEB13747	SAMEA3943307	ERS1130441	ERR1382329	Plate36.6
PRJEB13747	SAMEA3946049	ERS1133183	ERR1382330	Plate5.53
PRJEB13747	SAMEA3946320	ERS1133454	ERR1382331	Plate9.79
